Country Name,IsCountry,Country Code,Region,Population Total,Population Density (people per sq. km of land area),Population Growth (%),Population Urban (% of total),Birth Rate (per 1000 people),Death Rate (per 1000 people),Life Expectancy (years),Migration,Literacy Rate (% of people ages 15+),Unemployment (% of labor force),Land Area (sq. km),GDP,GDP per Capita,GDP Growth (%),Trade (% of GDP),Debt Total,Debt per Captia,Debt per GDP (%),Internet Users,Internet Rate (per 100 people),Electricity Rate (% of population),Electricity Production (kWh),Electricity Coal (kWh),Electricity Water,Electricity Gas,Electricity Nuclear,Electricity Oil,Electricity Renewable,Emissions CO2 (kg per PPP $ of GDP),Roads Density (km of road per 100 sq. km),Roads Passengers (mln passenger-km),Air Passengers,Railways Passengers (mln passenger-km),Motor Vehicles (per 1000 people),Hospital Beds (per 1000 people),Telephone Lines (per 100 people),Mobile Phones (per 100 people),Armed Forces Rate (% of labor force),Armed Forces Total
New Zealand,yes,NZL,Oceania,4433000,17,1.2,86,14,6.51,81,75000,,6.9,263000,1.71E+11,38680,1.82,59,90230000000,52300,126,1240000,27.8,,44496000000,2167000000,25079000000,8512000000,,2000000,33752000000,0.238,35.1,,13900000,,712,2.3,42.2,108,0.36,8550
Nicaragua,yes,NIC,North America,5991733,48,1.36,58,23,4.64,74,-120000,,7.7,120000,10644973606,1777,3.3,101,5228000000,693,62,101312,1.69,72,3825000000,,444000000,,,2524000000,1301000000,0.2,17,123,,,57,1.1,4.99,68,0.48,12000
Niger,yes,NER,Africa,17157042,13,3.79,18,50,11.8,57,-28500,15,5.1,1270000,6773185511,395,8.37,69,1451000000,178,79,3669,0.02,,,,,,,,,0.108,1.52,,120000,,,,0.59,23,0.19,10700
Nigeria,yes,NGA,Africa,168833776,175,2.75,50,42,14.1,51,-300000,,7.5,911000,4.60E+11,2722,7.84,45,10100000000,71,5,14279,0.01,50,27034000000,,5650000000,17113000000,,4271000000,5650000000,0.0979,,,4720000,,,,0.25,55,0.31,162000
North America,no,NAC,,348692795,19,0.86,82,12,7.91,79,6100000,,8,18200000,1.81E+13,51826,2.58,33,,,,101655190,28.9,,4.97E+12,1.95E+12,6.97E+11,1.11E+12,9.15E+11,46055000000,9.26E+11,0.363,66.6,6830000,807000000,6150,782,2.9,44.2,90,0.88,1560000
Northern Mariana Islands,no,MNP,,53305,117,-2.6,92,,,,,,,460,,,,,,,,,,,,,,,,,,,,,,,,,43.1,,,
Norway,yes,NOR,Europe,5018573,16,1.25,80,12,8.5,81,150000,,3.2,304000,5.00E+11,99636,0.48,69,6.45E+11,131220,141,1814144,36.3,,1.27E+11,119000000,1.21E+11,4059000000,,30000000,1.22E+11,0.203,28.9,61600,,2760,584,3.3,28,114,0.97,25800
Not classified,no,INX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,no,OED,,1254326493,36,0.63,80,12,8,80,11900000,,7.99,34300000,4.68E+13,37342,2.9,56,,,,328283337,26.1,,1.08E+13,3.61E+12,1.39E+12,2.63E+12,2.09E+12,2.97E+11,2.07E+12,0.294,53.4,109000,1740000000,6660,558,3.77,41.5,101,0.94,5760000
Oman,yes,OMN,Asia,3314001,9,5.11,74,21,2.84,76,1030000,,8.1,310000,78289467471,23624,5.6,,9768000000,2962,16,71214,2.15,98,21874000000,,,17937000000,,3937000000,,0.434,19.2,,4430000,,,,9.19,164,2.95,47000
Other small states,no,OSS,,19858911,10,1.68,48,29,11,59,-122000,,13.95,1860000,96201229453,4844,5.11,112,,,,348088,1.76,,,1844000000,3417000000,584000000,,373000000,3426000000,0.186,,,,,,,6.32,78,1.08,74000
Pacific island small states,no,PSS,,2252782,34,1.3,37,25,6.14,69,-70500,,,64200,7924680270,3518,1.46,116,,,,19924,1.04,,,,,,,,,0.239,,,1680000,,,,7.86,56,,
Pakistan,yes,PAK,Asia,179160111,225,1.78,37,26,7.07,66,-1630000,,5.1,771000,2.25E+11,1255,1.61,33,67000000000,366,30,926922,0.52,67,95258000000,96000000,28517000000,27650000000,5265000000,33730000000,28517000000,0.225,32.9,298000,7970000,20600,18,,3.27,57,1.49,948000
Palau,yes,PLW,Oceania,20754,45,0.62,85,,,,,,,460,232478639,11202,3.3,142,,,,916,4.41,,,,,,,,,0.801,,,,,,,35.3,71,,
Panama,yes,PAN,North America,3802281,50,1.71,76,20,4.89,77,28600,,4.5,74300,37956200000,9982,5.85,155,13130000000,3927,52,294681,7.75,88,7857000000,510000000,4098000000,,,3226000000,4121000000,0.179,20.1,,7520000,,138,2.2,15,181,0.68,12000
Papua New Guinea,yes,PNG,Oceania,7167010,15,2.27,13,29,7.77,62,,63,2.3,453000,15653921367,2184,8,,4860000000,238,16,9200,0.13,,,,,,,,,0.22,,,1630000,,,,1.94,28,0.06,1900
Paraguay,yes,PRY,South America,6687361,16,1.75,62,24,5.61,72,-40000,,6.3,397000,24611040343,3680,13.1,100,5714000000,382,13,79658,1.19,97,57626000000,,57625000000,,,1000000,57625000000,0.114,7.88,5930,794000,,,1.3,6.15,92,0.81,25500
Peru,yes,PER,South America,29987800,23,1.13,78,20,5.34,74,-300000,94,4,1280000,1.93E+11,6424,8.45,52,52590000000,1126,22,1422773,4.74,86,39223000000,637000000,21573000000,14007000000,,2272000000,22307000000,0.202,6.55,,10100000,76,64,1.5,11.4,100,1.19,192000
Philippines,yes,PHL,Asia,96706764,313,1.68,49,25,6,68,-700000,,7,298000,2.50E+11,2587,7.63,65,58500000000,636,32,2146600,2.22,83,69176000000,25342000000,9698000000,20591000000,,3398000000,19823000000,0.159,,,28500000,,30,1,3.61,89,0.4,166000
Poland,yes,POL,Europe,38535873,126,0.08,61,10,9.9,76,-38100,100,10.1,304000,4.90E+11,12721,3.88,93,3.26E+11,6586,47,5954666,15.6,,1.63E+11,1.41E+11,2331000000,5821000000,,2453000000,13138000000,0.408,130,234000,4910000,14700,532,6.5,15.6,123,0.93,173000
Portugal,yes,PRT,Europe,10514844,116,0.05,62,9,10,79,100000,,15.6,91500,2.12E+11,20175,1.94,78,5.49E+11,47835,223,2390203,22.5,,51884000000,9848000000,11540000000,14916000000,,2684000000,24111000000,0.191,23.8,94300,11300000,3440,578,3.4,43,115,1.65,90300
Puerto Rico,yes,PRI,North America,3651545,420,-0.52,99,11,7.83,78,-104000,,15.9,8870,1.01E+11,27795,-0.41,,56820000000,15692,87,573035,15.5,,,,,,,,,,303,69,,,661,,19.1,79,,
Qatar,yes,QAT,Asia,2050514,151,11.2,99,11,1.46,78,500000,97,0.6,11600,1.90E+11,92633,16.7,104,1.37E+11,41988,55,183680,8.96,99,30730000000,,,30730000000,,,,0.323,84.7,,17200000,,,,19.2,125,0.77,11800
Romania,yes,ROM,Europe,20076727,88,-0.59,53,10,12.8,74,-45000,,7,230000,1.69E+11,8437,-0.94,85,1.32E+11,5082,67,3518000,16.2,,61999000000,24803000000,14728000000,8365000000,11747000000,769000000,16315000000,0.239,45.9,29400,3590000,4150,235,6.1,21.4,111,1.58,151000
Russian,yes,RUS,Asia,143178000,9,0.34,74,13,14.2,69,1100000,,5.5,16400000,2.02E+12,14091,4.5,52,6.32E+11,3634,23,20703653,14.5,,1.05E+12,1.64E+11,1.66E+11,5.19E+11,1.73E+11,27345000000,1.66E+11,0.595,5.87,141000,58700000,145000,,,29.5,166,1.77,1360000
Rwanda,yes,RWA,Africa,11457801,439,2.87,19,36,7.87,62,-45000,,0.6,24700,7133378888,623,6.26,43,3502900000,284,21.7,2716,0.02,,,,,,,,,0.0441,,,593000,,5,,0.39,33,0.63,35000
Samoa,yes,WSM,Oceania,188889,66,0.72,20,27,5.58,72,-12700,99,,2830,684273267,3623,0.53,93,235500000,968,47,,,,,,,,,,,0.184,,,,,,,,,,
San Marino,yes,SMR,Europe,31247,514,0.53,94,10,6.6,83,,,,60,,,,,274659000,8388,20.3,9902,31.7,,,,,,,,,,,,,,1260,3.85,59.8,99,,
Sao Tome and Principe,yes,STP,Oceania,188098,186,2.84,63,35,7.12,66,-1500,,,960,263328450,1400,4.51,66,316600000,2193,349,778,0.41,,,,,,,,,0.206,,,,,,2.9,4.27,58,,
Saudi Arabia,yes,SAU,Asia,28287855,13,1.71,83,20,3.29,75,300000,,5.6,2150000,7.34E+11,25946,7.43,84,1.34E+11,3176,19,1965751,6.95,99,2.50E+11,,,1.08E+11,,66147000000,,0.376,,,26500000,297,,,17,189,2.4,249000
Senegal,yes,SEN,Africa,13726021,67,2.85,43,38,7.92,63,-100000,,9.9,193000,14045680427,1023,4.27,67,4117000000,296,30,95561,0.7,54,3014000000,,257000000,53000000,,2598000000,313000000,0.255,7.52,,544000,,,,2.48,64,0.31,18600
Serbia,yes,SRB,Europe,7199077,83,-0.4,57,9,14.2,74,-100000,98,19.6,87500,38110737579,5294,1.01,99,32600000000,4178,80,1001964,12.9,,38024000000,28785000000,8667000000,501000000,,71000000,8667000000,0.568,49.5,4030,1240000,801,238,,38.4,125,0.9,28200
Seychelles,yes,SYC,Africa,88303,195,2.79,54,19,7.4,73,-1550,92,,460,1032199341,11689,5.64,,1453000000,15614,147,10189,11,,,,,,,,,0.384,110,,236000,,176,3.6,22.7,129,,840
Sierra Leone,yes,SLE,Africa,5978727,80,1.94,40,37,17.9,45,-21000,44,3.4,71600,3787392596,633,5.44,,827600000,340,61,,,,,,,,,,,0.0908,,,50200,,6,,0.3,35,0.45,10500
Singapore,yes,SGP,Asia,5312400,7250,1.77,100,10,4.4,82,400000,96,2.8,700,2.87E+11,54007,15.2,368,,,,1349200,25.4,100,45999000000,,,35879000000,,8464000000,1053000000,0.0378,476,5680,29100000,,149,2,37.5,145,4.88,148000
Sint Maarten (Dutch part),no,SXM,North America,39088,1110,-3.33,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,yes,SVK,Europe,5407579,112,0.09,55,10,9.9,75,15000,,13.9,48100,91347809328,16893,4.18,,68440000000,10926,68,798387,14.7,,28288000000,4038000000,3778000000,3150000000,15411000000,586000000,4999000000,0.28,88.4,31400,45100,4860,364,6,17.9,109,0.58,15900
Slovenia,yes,SVN,Europe,2057159,102,0.44,50,11,9.1,79,22000,100,8.8,20100,45378388796,22059,1.38,,61230000000,25555,47.6,501973,24.3,,15913000000,5307000000,3559000000,489000000,6215000000,16000000,3878000000,0.278,193,733,817000,742,567,4.6,40.1,103,1.33,13600
Small states,no,SST,,29076151,12,1.4,46,26,9.82,63,-315000,,13.16,2330000,1.69E+11,5826,3.17,105,,,,890159,3.14,,,1844000000,3518000000,9427000000,,5117000000,3847000000,0.386,,,11900000,,,,9.18,85,0.88,90000
Solomon Islands,yes,SLB,Oceania,549598,19,2.21,21,31,6.09,67,-11900,,4.6,28000,999972421,1819,7.82,,166000000,355,44,2132,0.39,,,,,,,,,0.219,,,138000,,,,1.47,22,,
Somalia,yes,SOM,Africa,10195134,15,2.69,38,44,13,54,-150000,,7.6,627000,,,,,2942000000,386,,40000,0.39,,,,,,,,,,,,179000,,,,0.69,7,0.66,20000
South Africa,no,ZAF,Africa,52274945,42,1.33,62,21,13.9,54,-100000,94,25,1210000,3.82E+11,7314,3.14,62,1.38E+11,1613,23,1107200,2.11,76,2.60E+11,2.43E+11,2057000000,,13502000000,197000000,2465000000,0.791,,,17600000,,165,,9.25,98,0.33,62100
South Asia,no,SAS,,1649249388,337,1.35,31,21,7.66,66,-7080000,,3.76,4770000,2.30E+12,1396,9.13,53,,,,17068659,1.03,71,1.22E+12,7.17E+11,1.68E+11,1.76E+11,38551000000,53903000000,2.21E+11,0.332,101,,89600000,20600,,0.69,2.55,60,0.71,4620000
South Asia (IFC classification),no,CSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,yes,SSD,Africa,10837527,,4.32,18,37,12.8,54,865000,,,,10560000000,974,3.12,52,,,,17,0,,,,,,,,,,,,,,,,0,,,210000
Southern Cone Extended,no,SCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,yes,ESP,Europe,46761264,93,0.46,78,10,8.2,82,600000,98,25.2,499000,1.32E+12,28282,-0.2,65,2.29E+12,52045,167,11396347,24.4,,2.89E+11,44927000000,30596000000,84517000000,57731000000,14772000000,86224000000,0.185,132,395000,48100000,22400,593,3.1,41.9,111,0.92,216000
Sri Lanka,yes,LKA,Asia,20328000,329,0.99,15,18,6.99,74,-317000,,4.8,62700,59393056426,2922,8.02,59,22820000000,881,36,354000,1.68,77,11646000000,1038000000,4619000000,,,5846000000,4762000000,0.0829,174,,4620000,,48,,16.3,84,2.67,223000
St. Kitts and Nevis,yes,KNA,North America,53584,201,1.19,32,,,,,,,260,731851852,13658,-3.28,80,189100000,6408,79,13000,24.3,,,,,,,,,0.237,,,,,,4.8,37.3,153,,
St. Lucia,yes,LCA,North America,180870,291,1.25,17,16,6.79,74,40,,,610,1318148148,7288,-0.73,104,471400000,1586,32,24573,13.6,,,,,,,,,0.22,,,,,,1.6,20.4,112,,
St. Vincent and the Grenadines,yes,VCT,North America,109373,280,0.06,50,17,7.19,72,-5000,,,390,694444444,6349,-3.3,86,252200000,4477,85,13616,12.4,,,,,,,,,0.196,,,,,,2.7,17.7,121,,
Sint Maarten,yes,SXM,North America,30959,556,1.38,,16,3.8,79,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa (all income levels),no,SSF,,912212022,37,2.7,37,38,12,55,-1520000,,7.56,23600000,1.52E+12,1666,5.07,66,,,,1990821,0.22,35,4.48E+11,2.46E+11,89094000000,28269000000,13502000000,15595000000,91614000000,0.268,,,45400000,,,,1.31,45,0.47,1860000
Sub-Saharan Africa (developing only),no,SSA,,911475726,37,2.7,37,38,12,55,-1540000,,7.56,23600000,1.50E+12,1650,5.13,66,,,,1989341,0.22,35,4.45E+11,2.46E+11,89094000000,28269000000,13502000000,15595000000,91614000000,0.269,,,45100000,,,,1.31,45,0.47,1860000
Sub-Saharan Africa (IFC classification),no,CAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,yes,SDN,Africa,37195349,19,2.27,33,34,8.62,62,-800000,,14.8,2380000,63029562337,1695,3.48,23,39700000000,946,55,24789,0.07,36,8600000000,,6466000000,,,2134000000,6466000000,0.0953,,,777000,13,,,1.14,42,2.27,264000
Suriname,yes,SUR,South America,534541,3,0.92,70,18,7.23,70,-5000,,12.7,156000,5012121212,9376,4.22,,504300000,1011,28,29268,5.48,,,,,,,,,0.328,,,241000,,292,,16.2,99,0.88,1840
Swaziland,yes,SWZ,Africa,1230985,69,1.65,21,30,14.4,48,-6000,,22.5,17200,4049589166,3290,1.87,,737300000,428,14,3429,0.28,,,,,,,,,0.134,,,,0,,2.1,3.7,61,,
Sweden,yes,SWE,Europe,9519374,23,0.85,85,12,9.6,82,200000,,8,410000,5.24E+11,55039,6.56,91,1.03E+12,91487,187,3069880,32.3,,1.50E+11,1391000000,66434000000,1549000000,60475000000,791000000,84059000000,0.142,128,109000,,6420,520,2.7,43.8,117,0.32,16100
Switzerland,yes,CHE,Europe,7996861,196,1.04,74,10,8,82,320000,,4.2,40000,6.31E+11,78929,2.95,94,1.56E+12,154063,229,3210631,40.1,,62897000000,,32390000000,993000000,26710000000,58000000,33998000000,0.102,173,91200,26400000,17700,566,5,59,123,0.49,22700
Syria,yes,SYR,Asia,22399254,117,2.35,57,24,3.64,75,-1500000,85,8.3,184000,,,,,8818000000,373,13,242154,1.11,93,41079000000,,3283000000,21513000000,,16283000000,3283000000,,37.7,,908000,1860,74,,19.4,54,2.82,178000
Tajikistan,yes,TJK,Asia,8008990,55,2.39,27,33,6.58,67,-100000,100,11.5,140000,7633049792,953,6.5,91,2771000000,262,35,5400,0.07,,16219000000,,16027000000,192000000,,,16027000000,0.181,,,650000,24,,5.5,4.91,78,0.47,16300
Tanzania,yes,TZA,Africa,47783107,51,3.01,27,40,9.6,59,-150000,,3.5,886000,28248631876,609,7.04,77,11180000000,183,33,39805,0.08,15,5302000000,60000000,2615000000,2586000000,,41000000,2615000000,0.103,8.84,,1030000,,,,0.37,47,0.12,28400
Thailand,yes,THA,Asia,66785001,130,0.19,35,10,7.35,74,100000,,0.7,511000,3.66E+11,5480,7.81,149,1.16E+11,1292,26,4352000,6.52,88,1.56E+11,34809000000,8163000000,1.07E+11,,2062000000,12549000000,0.354,,,36400000,7500,160,,9.55,108,1.15,454000
East Timor,yes,TMP,Oceania,1148958,72,1.63,29,36,6.29,66,-75000,,4,14900,1355000000,1179,9.49,,,,,600,0.05,38,,,,,,,,0.0959,,,,,,,0.27,44,0.57,1330
Togo,yes,TGO,Africa,6642928,116,2.6,39,37,11.3,56,-9990,,7.6,54400,3915754216,589,4,,,,,7026,0.11,28,139000000,,103000000,,,34000000,105000000,0.2,,,746000,,,0.7,0.93,41,0.3,9300
Tonga,yes,TON,Africa,104941,145,0.52,24,26,6.13,72,-8080,,,720,471575497,4494,3.33,81,118600000,799,33,1500,1.43,,,,,,,,,0.31,,,,,,,28.6,52,,
Trinidad and Tobago,yes,TTO,North America,1337439,259,0.42,14,15,9.2,70,-15000,99,5.8,5130,23436342520,17523,0.21,,4780000000,3502,21,183957,13.8,99,8867000000,,,8843000000,,24000000,,1.33,,,2630000,,,,21.4,143,0.6,4050
Tunisia,yes,TUN,Africa,10777500,68,1.04,67,19,5.7,75,-32900,,12.8,155000,45238491581,4197,3.61,107,24490000000,1779,42,527915,4.85,100,16130000000,,54000000,15957000000,,10000000,163000000,0.241,11.9,,3580000,1530,125,,10.1,105,1.22,47800
Turkey,yes,TUR,Asia,73997128,94,1.25,72,17,5.75,74,350000,95,9.2,770000,7.89E+11,10661,9.16,58,3.31E+11,3794,40,7858170,10.6,,2.29E+11,66217000000,52338000000,1.04E+11,,904000000,58098000000,0.255,46.9,227000,63400000,4600,155,2.5,18.7,86,2.27,613000
Turkmenistan,yes,TKM,Asia,5172931,11,1.26,49,22,7.76,65,-25000,100,11.3,470000,35164210526,6798,9.2,118,428900000,978,25,1400,0.03,,17220000000,,,17220000000,,,,1.07,,,148000,1810,,4.07,11.1,63,0.97,22000
Turks and Caicos Islands,no,TCA,North America,32427,33,2.44,94,,,,,,,950,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,no,TUV,Oceania,9860,328,0.19,51,,,,,,,30,39875708,4044,-2.73,,,,,550,5.58,,,,,,,,,,,,,,,,14.7,16,,
Uganda,yes,UGA,Africa,36345860,170,3.36,16,44,10.2,57,-150000,,4.2,200000,20032237910,551,5.86,62,4126000000,85,17,38400,0.11,9,,,,,,,,0.0877,,,182000,,,,0.87,38,0.32,46800
Ukraine,yes,UKR,Europe,45593300,79,-0.4,69,11,15.2,70,-40000,100,7.7,579000,1.77E+11,3873,4.2,110,1.35E+11,2144,71,3643460,8,,1.95E+11,74494000000,10946000000,18451000000,90248000000,555000000,11199000000,0.862,28.1,51500,5830000,49200,173,,26.8,117,0.93,215000
United Arab Emirates,yes,ARE,Asia,9205651,101,8.96,85,15,1.1,77,514000,,3.8,83600,3.84E+11,41692,1.67,170,1.64E+11,24273,41,951785,10.3,100,99137000000,,,97453000000,,1684000000,,0.353,,,59900000,,,,21.4,129,0.82,51000
United Kingdom,yes,GBR,Europe,63695687,259,0.78,80,13,9,80,900000,,7.9,242000,2.46E+12,38649,1.66,66,1.01E+13,160158,406,21618675,34.4,,3.65E+11,1.10E+11,5686000000,1.47E+11,68980000000,3665000000,34408000000,0.23,172,710000,115000000,64300,518,2.9,52.9,124,0.52,169000
United States,yes,USA,North America,313873685,34,0.83,83,13,8,79,5000000,,8.1,9150000,1.62E+13,51755,2.51,30,1.73E+13,52170,106,90341000,28.5,,4.33E+12,1.88E+12,3.22E+11,1.05E+12,8.21E+11,39524000000,5.29E+11,0.363,66.6,6830000,737000000,9520,782,2.9,43.5,91,0.94,1490000
Upper middle income,no,UMC,,2390210774,55,0.76,61,15,7.02,74,-2310000,,5.82,42700000,1.75E+13,7314,7.7,60,,,,256761228,10.8,97,7.57E+12,4.35E+12,1.52E+12,1.02E+12,1.76E+11,2.72E+11,1.69E+12,0.482,23.8,,732000000,1810,98,3.38,19.5,77,0.73,9100000
Uruguay,yes,URY,South America,3395253,19,0.34,93,15,9.32,77,-30000,98,6,175000,50004354667,14728,8.4,56,11610000000,3989,33,563108,16.6,99,10344000000,,6479000000,91000000,,2816000000,7437000000,0.122,,,,,206,3,29.8,132,1.47,25500
Uzbekistan,yes,UZB,Asia,29774500,67,2.82,36,21,4.9,68,-200000,99,11.3,425000,51183443225,1719,8.5,58,10460000000,150,11,212729,0.75,,52400000000,2140000000,10200000000,39517000000,,543000000,10200000000,0.891,,68000,2590000,3030,,,6.94,76,0.52,68000
Vanuatu,yes,VUT,Oceania,247262,19,2.34,25,27,4.88,71,,83,,12200,786938335,3183,1.63,98,307700000,389,22,310,0.13,,,,,,,,,0.173,,,319000,,,,2.16,72,,
Venezuela,yes,VEN,South America,29954782,33,1.6,94,20,5.18,74,40000,,7.8,882000,3.81E+11,12729,-1.49,50,1.06E+11,1906,19,2007540,6.7,100,1.22E+11,,83670000000,20975000000,,17414000000,83670000000,0.428,,,7740000,,,0.9,25.5,96,0.83,115000
Vietnam,yes,VNM,Asia,88772900,280,1.05,32,16,5.61,75,-200000,,2,310000,1.56E+11,1755,6.42,157,68380000000,379,32,4446600,4.9,98,99179000000,20920000000,29820000000,43548000000,,4749000000,29962000000,0.393,,69200,17000000,4560,,,11.2,125,0.99,522000
Virgin Islands (U.S.),no,VIR,North America,105275,304,-0.41,96,11,7.2,79,-3600,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palestine,yes,WBG,Asia,4046901,633,2.9,75,31,3.53,73,-43800,96,23,6020,10238909204,2530,3.44,79,1040000000,414,,186380,4.42,,,,,,,,,0.162,77.8,,,,43,,9.34,65,5.69,56000
World,no,WLD,,7043105591,53,1.17,53,19,8.05,70,,,5.94,130000000,7.29E+13,10351,4.07,61,,,,636480417,9.09,78,2.22E+13,9.13E+12,3.47E+12,4.85E+12,2.58E+12,8.68E+11,4.40E+12,0.386,30.9,,2890000000,,,,16.7,77,0.85,28200000
Yemen Rep.,yes,YEM,Asia,23852409,43,2.37,33,31,7.49,63,-135000,66,17.6,528000,31992801303,1341,3.32,,6726000000,293,23,167300,0.7,40,6206000000,,,1342000000,,4864000000,,0.216,,,1300000,,,,4.63,49,2.01,138000
Zambia,yes,ZMB,Africa,14075099,18,3.01,40,43,11.9,55,-40000,,13.1,743000,20596424325,1463,7.62,90,5445000000,264,22,14794,0.11,19,11454000000,,11414000000,,,40000000,11414000000,0.0674,,,127000,,,,0.59,41,0.28,16500
Zimbabwe,yes,ZWE,Africa,13724317,34,1.45,39,32,11.6,54,400000,,4,387000,12472416688,909,11.4,94,6975000000,609,103,71445,0.52,37,8925000000,2258000000,6572000000,,,27000000,6640000000,0.495,,,321000,,,1.7,2.2,59,0.72,50800
